Wǒ mào le yánhán, huídào xiānggé èrqiān yú lǐ, bièle èrshí yú nián de gùxiāng qù. 	我冒了严寒,回到相隔二千余里,别了二十余年的故乡去。
Shíhou jìrán shì shēn dōng; jiàn jìn gùxiāng shí, tiānqì yòu yīnhuì le, lěngfēng chuījìn chuáncāng zhōng, wūwū de xiǎng, cóng péng xì xiàngwài yī wàng, cānghuáng de tiāndǐxia, yuǎn-jìn héngzhe jǐ gè xiāosuǒ de huāngcūn, méiyǒu yīxiē huóqì. Wǒ de xīn jīnbuzhù bēiliáng qǐlai le. 	时候既然是深冬;渐近故乡时,天气又阴晦了,冷风吹进船舱中,呜呜的响,从蓬隙向外一望,苍黄的天底下,远近横着几个萧索的荒村,没有一些活气。我的心禁不住悲凉起来了。
Ā! Zhè bù shì wǒ èrshí niánlái shíshí jìde de gùxiāng? 	阿!这不是我二十年来时时记得的故乡?
Wǒ suǒ jìde de gùxiāng quán bù rúcǐ. Wǒ de gùxiāng hǎo de duō le. Dàn yào wǒ jìqǐ tā de měilì, shuōchū tā de jiā chù lái, quèyòu méiyǒu yǐngxiàng, méiyǒu yáncí le. Fǎngfú yějiù rúcǐ. Yúshì wǒzìjǐ jiěshì shuō: gùxiāng běn yě rúcǐ, -- suīrán méiyǒu jìnbù, yě wèibì yǒurú wǒ suǒgǎn de bēiliáng, zhè zhǐshì wǒzìjǐ xīnqíng de gǎibiàn bàle, yīnwèi wǒ zhècì huíxiāng, běn méiyǒu shénme hǎo xīnxù. 	我所记得的故乡全不如此。我的故乡好得多了。但要我记起他的美丽,说出他的佳处来,却又没有影像,没有言辞了。仿佛也就如此。于是我自己解释说:故乡本也如此,——虽然没有进步,也未必有如我所感的悲凉,这只是我自己心情的改变罢了,因为我这次回乡,本没有什么好心绪。
Wǒ zhècì shì zhuān wèile bié tā ér lái de. Wǒmen duōnián jùzú'érjū de lǎo wū, yǐjing gōngtóng màigěi bié xìng le, jiāo wū de qīxiàn, zhǐ zài běnnián, suǒyǐ bìxū gǎn zài zhēngyuè chūyī yǐqián, yǒngbié le shúshi de lǎo wū, érqiě yuǎnlí le shúshi de gùxiāng, bānjiā dào wǒ zài móushí de yìdì qù. 	我这次是专为了别他而来的。我们多年聚族而居的老屋,已经公同卖给别姓了,交屋的期限,只在本年,所以必须赶在正月初一以前,永别了熟识的老屋,而且远离了熟识的故乡,搬家到我在谋食的异地去。
Dì-èr rì qīng zǎochen wǒ dàoliǎo wǒjiā de ménkǒu le. Wǎléng shàng xǔduō kūcǎo de duàn jīng dāng fēng dǒu zhe, zhèngzài shuōmíng zhè lǎo wū nánmiǎn yìzhǔ de yuányīn. Jǐ fáng de běnjiā dàyuē yǐjing bānzǒu le, suǒyǐ hěn jìjìng. Wǒ dàoliǎo zìjiā de fáng wài, wǒ de mǔqin zǎoyǐ yíngzhe chūlai le, jiēzhe biàn fēichū le bā suì de zhír Hóng'ér. 	第二日清早晨我到了我家的门口了。瓦楞上许多枯草的断茎当风抖着,正在说明这老屋难免易主的原因。几房的本家大约已经搬走了,所以很寂静。我到了自家的房外,我的母亲早已迎着出来了,接着便飞出了八岁的侄儿宏儿。
Wǒ de mǔqin hěn gāoxìng, dàn yě cáng zhe xǔduō qīliáng de shénqíng, jiào wǒ zuòxia, xiēxi, hēchá, qiěbù tán bānjiā de shì. Hóng'ér méiyǒu jiànguò wǒ, yuǎnyuǎn de duìmiàn zhànzhe zhǐshì kàn. 	我的母亲很高兴,但也藏着许多凄凉的神情,教我坐下,歇息,喝茶,且不谈搬家的事。宏儿没有见过我,远远的对面站着只是看。
Dàn wǒmen zhōngyú tándào bānjiā de shì. Wǒ shuō wàijiān de yùsuǒ yǐjing zū dìng le, yòu mǎi le jǐ jiàn jiāju, cǐwài xū jiāng jiālǐ suǒyǒu de mùqì mài qù, zài qù zēngtiān. Mǔqin yě shuōhǎo, érqiě xíngli yě lüè yǐ qíjí, mùqì bùbiàn bānyùn de, yě xiǎobàn mài qùle, zhǐshì shōu bùqǐ qián lái. 	但我们终于谈到搬家的事。我说外间的寓所已经租定了,又买了几件家具,此外须将家里所有的木器卖去,再去增添。母亲也说好,而且行李也略已齐集,木器不便搬运的,也小半卖去了,只是收不起钱来。
"Nǐ xiūxi yī liǎngtiān, qù bàiwàng qīnqi běnjiā yīhuí, wǒmen biàn kěyǐ zǒu le." mǔqin shuō. 	"你休息一两天,去拜望亲戚本家一回,我们便可以走了。"母亲说。
"Shìde." 	"是的。"
"Hái yǒu Rùntǔ, tā měidào wǒjiā lái shí, zǒng wènqǐ nǐ, hěnxiǎng jiàn nǐ yīhuí miàn. Wǒ yǐjing jiāng nǐ dàojiā de dàyuē rìqī tōngzhī tā, tā yěxǔ jiùyào lái le." 	"还有闰土,他每到我家来时,总问起你,很想见你一回面。我已经将你到家的大约日期通知他,他也许就要来了。"
